server  , avg_latency, total_packets_dropped, server_utilization
server_1, 56         , 32                   , 0.7
server_2, 51         , 15                   , 0.9
server_3, 22         , 2                    , 0.4
server_1, 23         , 4                    , 0.32
server_2, 57         , 1                    , 0.83
server_3, 37         , 44                   , 0.77
server_1, 44         , 34                   , 0.32
server_2, 35         , 31                   , 0.31
server_3, 55         , 8                    , 0.45
server_1, 27         , 44                   , 0.63
server_2, 25         , 20                   , 0.35
server_3, 45         , 42                   , 0.98
server_1, 33         , 38                   , 0.78
server_2, 38         , 22                   , 0.57
server_3, 41         , 16                   , 0.43
server_1, 33         , 39                   , 0.61
server_2, 20         , 3                    , 0.61
server_3, 36         , 40                   , 0.55
server_1, 28         , 14                   , 0.94
server_2, 58         , 16                   , 0.58
server_3, 43         , 30                   , 0.46
server_1, 31         , 7                    , 0.78
server_2, 29         , 33                   , 0.42
server_3, 13         , 32                   , 0.73
server_1,46.32,27,0.77
server_2,58.75,147,1.32
server_3,39.37,159,1.02
server_1,55.12,69,0.85
server_2,42.78,68,1.05
server_3,46.42,195,1.11
server_1,44.36,0,0.71
server_2,43.54,134,1.27
server_3,49.65,203,1.12
server_1,42.56,147,1.01
server_2,49.51,237,1.62
server_3,38.96,0,0.56
server_1,44.85,181,1.08
server_2,42.32,139,1.29
server_3,36.32,15,0.71
server_1,39.68,20,0.76
server_2,36.42,62,1.03
server_3,55.92,250,1.23
server_1,46.86,17,0.75
server_2,40.38,165,1.38
server_3,42.51,150,1.01
server_1,48.41,129,0.97
server_2,42.45,228,1.59
server_3,33.45,0,0.62
server_1,38.82,58,0.83
server_2,45.99,87,1.12
server_3,48.36,188,1.09
server_1,32.41,0,0.69
server_2,44.68,180,1.43
server_3,50.69,164,1.04
server_1,42.89,16,0.75
server_2,50.00,76,1.08
server_3,47.12,241,1.21
server_1,42.79,183,1.08
server_2,48.16,63,1.04
server_3,40.81,88,0.87
server_1,49.51,197,1.11
server_2,42.57,0,0.82
server_3,48.51,140,0.98
server_1,44.69,122,0.96
server_2,40.22,58,1.02
server_3,48.73,153,1.01
server_1,32.44,0,0.63
server_2,45.31,278,1.75
server_3,54.71,99,0.89
server_1,35.67,112,0.94
server_2,50.30,251,1.66
server_3,43.89,0,0.61
server_1,44.65,142,1.00
server_2,51.03,204,1.51
server_3,32.02,0,0.64
server_1,44.36,173,1.06
server_2,46.96,126,1.25
server_3,39.84,36,0.75
server_1,41.73,68,0.85
server_2,39.84,92,1.13
server_3,50.96,172,1.06
server_1,43.22,46,0.81
server_2,32.15,229,1.59
server_3,46.27,59,0.80
server_1,51.18,123,0.96
server_2,41.20,60,1.03
server_3,40.87,150,1.01
server_1,50.93,0,0.61
server_2,46.70,237,1.62
server_3,40.28,150,1.01
server_1,42.84,23,0.76
server_2,46.40,267,1.72
server_3,49.45,43,0.77
server_1,51.91,67,0.85
server_2,39.90,144,1.31
server_3,40.10,121,0.94
server_1,54.32,81,0.88
server_2,43.39,247,1.65
server_3,34.02,8,0.69
server_1,0,0,0.00
server_2,0,0,0.00
server_3,47.41,937,2.76
server_1,46.58,0,0.60
server_2,44.30,269,1.72
server_3,41.70,118,0.94
server_1,54.43,49,0.81
server_2,42.98,259,1.69
server_3,39.51,27,0.73
server_1,37.28,0,0.69
server_2,49.84,217,1.55
server_3,45.03,128,0.96
server_1,42.56,218,1.15
server_2,45.75,161,1.36
server_3,43.25,0,0.58
server_1,48.52,0,0.60
server_2,56.33,131,1.26
server_3,51.03,258,1.25
server_1,41.97,137,0.99
server_2,44.12,131,1.26
server_3,47.24,66,0.82
server_1,51.48,84,0.88
server_2,30.16,316,1.88
server_3,41.18,0,0.52
server_1,46.20,31,0.78
server_2,48.85,163,1.37
server_3,33.97,140,0.98
server_1,0,0,0.00
server_2,47.43,992,4.13
server_3,0,0,0.00
server_1,30.61,12,0.74
server_2,51.33,176,1.41
server_3,48.31,146,1.00
server_1,39.30,23,0.76
server_2,53.21,190,1.46
server_3,40.96,119,0.94
server_1,49.75,113,0.94
server_2,39.80,120,1.23
server_3,38.55,100,0.89
server_1,50.16,179,1.07
server_2,40.73,71,1.06
server_3,37.38,85,0.86
server_1,36.95,148,1.01
server_2,54.11,78,1.09
server_3,44.78,107,0.91
server_1,47.14,35,0.79
server_2,39.38,58,1.02
server_3,47.91,242,1.21
server_1,45.09,0,0.68
server_2,43.77,257,1.68
server_3,44.77,96,0.89
server_1,43.43,0,0.60
server_2,50.93,245,1.64
server_3,44.78,147,1.00
server_1,46.84,0,0.70
server_2,45.23,339,1.96
server_3,43.95,0,0.67
server_1,40.54,122,0.96
server_2,44.92,259,1.69
server_3,49.65,0,0.57
server_1,43.01,0,0.48
server_2,42.21,207,1.52
server_3,43.35,245,1.22
server_1,0,0,0.00
server_2,47.43,992,4.13
server_3,0,0,0.00
server_1,34.83,94,0.90
server_2,50.64,152,1.33
server_3,49.78,87,0.86
server_1,52.35,93,0.90
server_2,42.13,132,1.27
server_3,35.70,110,0.92
server_1,47.14,887,2.49
server_2,0,0,0.00
server_3,0,0,0.00
server_1,39.81,0,0.62
server_2,48.55,259,1.69
server_3,46.98,121,0.94
server_1,42.32,0,0.66
server_2,50.04,104,1.17
server_3,43.72,256,1.24
server_1,45.44,48,0.81
server_2,39.91,270,1.73
server_3,38.91,16,0.71
server_1,33.45,0,0.51
server_2,38.48,202,1.50
server_3,41.74,235,1.19
server_1,43.80,72,0.86
server_2,47.16,123,1.23
server_3,44.01,140,0.98
server_1,47.20,103,0.92
server_2,42.43,165,1.38
server_3,43.42,65,0.82
server_1,42.45,88,0.89
server_2,42.38,90,1.13
server_3,38.63,154,1.02
server_1,51.12,114,0.94
server_2,42.32,179,1.42
server_3,28.12,40,0.76
server_1,47.14,887,2.49
server_2,0,0,0.00
server_3,0,0,0.00
server_1,34.59,20,0.76
server_2,45.89,176,1.41
server_3,47.86,137,0.98
server_1,46.56,157,1.03
server_2,52.52,58,1.02
server_3,47.39,118,0.94
server_1,48.25,78,0.87
server_2,31.95,100,1.16
server_3,50.30,155,1.02
server_1,47.14,887,2.49
server_2,0,0,0.00
server_3,0,0,0.00
server_1,46.69,104,0.92
server_2,43.37,103,1.17
server_3,40.42,127,0.96
server_1,44.67,72,0.86
server_2,49.54,267,1.72
server_3,34.06,0,0.66
server_1,44.05,78,0.87
server_2,42.85,170,1.39
server_3,46.63,86,0.86
server_1,37.05,0,0.54
server_2,55.37,291,1.80
server_3,44.34,132,0.97
server_1,45.62,0,0.58
server_2,37.03,309,1.86
server_3,44.70,89,0.87
server_1,40.00,112,0.94
server_2,39.13,186,1.45
server_3,63.25,35,0.75
server_1,32.39,19,0.75
server_2,51.12,59,1.02
server_3,40.22,255,1.24
server_1,42.66,273,1.26
server_2,52.12,50,0.99
server_3,39.88,12,0.70
server_1,44.33,52,0.82
server_2,46.48,107,1.18
server_3,43.35,175,1.06
server_1,43.38,0,0.67
server_2,51.06,211,1.53
server_3,36.11,143,0.99
server_1,0,0,0.00
server_2,47.43,992,4.13
server_3,0,0,0.00
server_1,41.40,35,0.78
server_2,48.08,185,1.44
server_3,41.76,112,0.92
server_1,41.98,27,0.77
server_2,46.74,186,1.45
server_3,44.65,120,0.94
server_1,40.68,6,0.73
server_2,48.85,310,1.86
server_3,43.30,17,0.71
server_1,0,0,0.00
server_2,47.43,992,4.13
server_3,0,0,0.00
server_1,51.33,37,0.79
server_2,40.63,168,1.38
server_3,42.44,130,0.96
server_1,47.30,69,0.85
server_2,49.50,188,1.45
server_3,33.13,75,0.84
server_1,38.57,24,0.76
server_2,40.53,254,1.67
server_3,51.03,55,0.80
server_1,48.72,98,0.91
server_2,45.60,114,1.21
server_3,44.70,121,0.94
server_1,42.77,103,0.92
server_2,45.71,36,0.95
server_3,47.45,193,1.10
server_1,42.03,0,0.68
server_2,40.55,83,1.10
server_3,47.24,266,1.26
server_1,38.52,162,1.04
server_2,51.05,43,0.97
server_3,45.80,127,0.96
server_1,46.34,261,1.24
server_2,42.01,126,1.25
server_3,40.27,0,0.55
server_1,45.27,101,0.92
server_2,46.64,150,1.32
server_3,38.80,85,0.86
server_1,40.18,0,0.68
server_2,37.81,84,1.11
server_3,50.68,265,1.26
server_1,38.63,133,0.98
server_2,50.37,239,1.62
server_3,42.49,0,0.58
server_1,34.71,0,0.63
server_2,55.99,273,1.74
server_3,53.41,100,0.90
server_1,48.41,70,0.86
server_2,45.77,168,1.39
server_3,39.42,94,0.88
server_1,0,0,0.00
server_2,0,0,0.00
server_3,47.41,937,2.76
server_1,46.06,169,1.05
server_2,48.31,91,1.13
server_3,37.13,73,0.84
server_1,31.28,34,0.78
server_2,54.41,204,1.51
server_3,47.33,95,0.88
server_1,49.24,1,0.72
server_2,47.67,313,1.87
server_3,42.28,19,0.72
server_1,34.80,56,0.83
server_2,47.03,160,1.36
server_3,44.28,119,0.94
